urn:cts:greekLit:tlg0012.tlg001.hmt01:10.1	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="1"> Alongside the ships the other best <note>aristos</note> men of the Panachaeans</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.86	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="86"> The lord of men Agamemnon then answered him <note>n:v.l. addressed him in turn</note>,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.87	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="87"> “Nestor, descendent of Neleus, great glory <note>kudos</note> of the Achaeans,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.88	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="88"> you will recognize me, the son of Atreus, Agamemnon, on whom above all</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.89	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="89"> Zeus has sent continuous labors <note>ponos</note>, as long as the breath</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.90	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="90"> remains in my chest and my <note>philos</note> knees continue to rise. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.91	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="91"> I am wandering like this, since not on my eyes does sweet sleep </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.92	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="92"> sit, but war and worry <note>kêdos</note> for the Achaeans are on my mind.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.93	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="93"> I am terribly afraid for the Danaans, nor is my heart </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.94	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="94"> steady, but I am distraught, and my heart</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.95	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="95"> leaps from my chest, and my shining limbs tremble beneath me. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.96	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="96"> But if you want to take action, since sleep does not come to you either,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.97	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="97"> let’s go to the watchmen, so that we can see</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.98	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="98"> if they, overcome by exhaustion and sleep,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.99	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="99"> have gone to bed, and have altogether forgotten their watch.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.100	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="100"> Hostile men sit near, nor do we know that </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.101	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="101"> they are not plotting to somehow fight even during the night.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.102	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="102"> The Gerenian horseman Nestor answered him,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.103	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="103"> “Son of Atreus most glorious <note>kudos</note>, lord of men Agamemnon,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.104	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="104"> surely Zeus the deviser <note>mêtis</note> will not bring all of Hektor’s intentions<note>noos</note></l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.105	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="105"> to fulfillment, as many as he is now hoping for. But I think that he will </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.106	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="106"> be burdened with even more cares <note>kêdos</note>, if Achilles</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.107	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="107"> turns his dear <note>philos</note> heart away from painful fury <note>kholos</note>.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.108	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="108"> But yes I will follow you. Also, let’s once again wake the others,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.109	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="109"> the son of Tydeus famed for his spear and Odysseus</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.110	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="110"> and swift Ajax and the resolute son of Phyles. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.111	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="111"> But if someone else could go after and call these men,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.112	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="112"> Ajax who is a match for a god and lord Idomeneus—</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.113	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="113"> for their ships are the furthest, not at all near.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.114	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="114"> But although he is dear <note>philos</note> and I respect <note>aidôs</note> him,Menelaos</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.115	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="115"> I must quarrel <note>neikos</note> with, even if you resent me for it. I can’t concealit,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.116	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="116"> since he is sleeping, and he has turned the labor <note>ponos</note> over to you alone.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.117	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="117"> Right now among all the best <note>aristos</note> men he ought to be laboring<note>ponos</note></l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.118	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="118"> to beseech them. For a need has come upon us that can’t be endured any longer.” </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.119	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="119"> Then in turn the lord of men Agamemnon addressed him,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.120	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="120"> “Old man, I urge you to find fault with him at other times,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.121	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="121"> for often he slacks off, and is not willing to labor <note>ponos</note>,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.122	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="122"> not because he is yielding to caution or a thoughtless mind <note>noos</note>,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.123	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="123"> but looking to me and waiting for my initiative.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.124	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="124"> But this time he has woken up <note>n:augment</note> long before me and stood over<note>n:augment</note> me.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.125	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="125"> Him I have sent <note>n:augment</note> to call the ones you are asking about. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.126	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="126"> But let’s go. We will find those men before the gates</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.127	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="127"> among the watchmen, where I have told <note>n:augment</note> them to gather.”</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.128	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="128"> Then the Gerenian horseman Nestor answered him,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.129	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="129"> “No one will feel indignation <note>nemesis</note> or disobey,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.130	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="130"> no one of the Argives that is, whenever you summon and command anyone.”</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.131	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="131"> So he spoke and he put a khiton around his chest</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.132	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="132"> and under his shining feet he fastened fine sandals.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.133	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="133"> Around himself he fastened a crimson cloak,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.134	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="134"> folded double and intricate <note>n:need discussion of hapax in a footnote</note>, andthere was a bloom of thick curly wool upon it.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.135	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="135"> He took an unyielding spear, sharpened with a bronze point,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.136	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="136"> and he set out to go through the ships of the of the bronze-wearing Achaeans.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.137	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="137"> First then Odysseus, the equivalent of Zeus in intelligence <note>mêtis</note>,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.138	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="138"> the Gerenian horseman Nestor roused from sleep,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.139	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="139"> calling out. The sound of his voice instantly surrounded his <note>Odysseus’</note> mind<note>phrên</note>,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.140	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="140"> and he came from the shelter and spoke words to them. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.141	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="141"> “Why ever do you wander this way along the ships among the encamped mass of warriors</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.142	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="142"> through the ambrosial night? What need so great has come upon us?”</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.143	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="143"> The Gerenian horseman Nestor then answered him,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.144	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="144"> “Son of Laertes, descended from the gods, Odysseus of many devices,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.145	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="145"> don’t feel indignation <note>nemesis</note>. Such sorrow <note>akhos</note> has overwhelmedthe Achaeans. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.146	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="146"> But follow us, so that we may rouse another as well, with whom it is fitting</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.147	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="147"> to make a plan whether we should flee or fight.”</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.148	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="148"> So he spoke. Going into his shelter Odysseus who is crafty <note>mêtis</note> in many ways </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.149	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="149"> put an intricately patterned <note>poikilos</note> shield around his shoulders and wentwith them.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.150	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="150"> They went to the son of Tydeus, Diomedes. They found him </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.151	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="151"> outside of his shelter together with his armor, and around him his companions</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.152	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="152"> slept, and they had their shields under their heads. Their spears </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.153	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="153"> were planted with the spearheads up, and far and wide the bronze </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.154	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="154"> was shining, like the lightning of father Zeus. But the hero </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.155	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="155"> slept, and under him was spread the skin of a wild ox, </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.156	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="156"> and under his head was spread a shining tapestry.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.157	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="157"> Standing next to him the Gerenian horseman Nestor roused him,</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.158	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="158"> moving him with his foot, and he stirred him up and insulted <note>neikos</note> him to hisface.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.159	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="159"> “Wake up, son of Tydeus. Why do you slumber the whole night through?</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.160	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="160"> Don’t you perceive that the Trojans on the rise of the plain </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.161	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="161"> are sitting near our ships, and only a small space keeps them back?”</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.162	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="162"> So he spoke and Diomedes leapt up especially quickly from sleep.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.163	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="163"> He spoke out and addressed to him winged words.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.164	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="164"> “You are intractable, old man. You at least never cease from labor <note>ponos</note>. </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.165	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="165"> Aren’t there other sons of the Achaeans, younger men, </l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.166	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="166"> who could then rouse each of the kings</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.167	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="167"> going back and forth everywhere? You are impossible, old man.”</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.168	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="168"> Then in turn the Gerenian horseman Nestor addressed him.</l>
urn:cts:greekLit:tlg0012.tlg001.hmt01:10.169	<l xmlns="http://www.tei-c.org/ns/1.0" xmlns:xi="http://www.w3.org/2001/XInclude" xmlns:svg="http://www.w3.org/2000/svg" xmlns:math="http://www.w3.org/1998/Math/MathML" n="169"> “All these things, friend <note>philos</note>, you have spoken in good measure<note>moira</note>,</l>
