ORCA_URN	AnalyzedText	Analysis	textDeformation
urn:cite2:hmt:signoccurr.v1:1277	urn:cts:greekLit:tlg0012.tlg001.msA:10.117	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1278	urn:cts:greekLit:tlg0012.tlg001.msA:10.118	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1279	urn:cts:greekLit:tlg0012.tlg001.msA:10.120	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1280	urn:cts:greekLit:tlg0012.tlg001.msA:10.140	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1281	urn:cts:greekLit:tlg0012.tlg001.msA:10.158	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:1282	urn:cts:greekLit:tlg0012.tlg001.msA:10.164	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1283	urn:cts:greekLit:tlg0012.tlg001.msA:10.167	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1284	urn:cts:greekLit:tlg0012.tlg001.msA:10.175	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1285	urn:cts:greekLit:tlg0012.tlg001.msA:10.187	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1286	urn:cts:greekLit:tlg0012.tlg001.msA:10.188	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1287	urn:cts:greekLit:tlg0012.tlg001.msA:10.189	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1288	urn:cts:greekLit:tlg0012.tlg001.msA:10.195	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1289	urn:cts:greekLit:tlg0012.tlg001.msA:10.204	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1290	urn:cts:greekLit:tlg0012.tlg001.msA:10.208	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:1291	urn:cts:greekLit:tlg0012.tlg001.msA:10.209	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:1292	urn:cts:greekLit:tlg0012.tlg001.msA:10.210	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:1293	urn:cts:greekLit:tlg0012.tlg001.msA:10.216	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1294	urn:cts:greekLit:tlg0012.tlg001.msA:10.224	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1295	urn:cts:greekLit:tlg0012.tlg001.msA:10.225	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1296	urn:cts:greekLit:tlg0012.tlg001.msA:10.226	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1297	urn:cts:greekLit:tlg0012.tlg001.msA:10.231	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1298	urn:cts:greekLit:tlg0012.tlg001.msA:10.240	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1299	urn:cts:greekLit:tlg0012.tlg001.msA:10.240	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1300	urn:cts:greekLit:tlg0012.tlg001.msA:10.242	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1301	urn:cts:greekLit:tlg0012.tlg001.msA:10.252	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1302	urn:cts:greekLit:tlg0012.tlg001.msA:10.253	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1303	urn:cts:greekLit:tlg0012.tlg001.msA:10.258	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1304	urn:cts:greekLit:tlg0012.tlg001.msA:10.262	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1305	urn:cts:greekLit:tlg0012.tlg001.msA:10.265	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1306	urn:cts:greekLit:tlg0012.tlg001.msA:10.266	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1307	urn:cts:greekLit:tlg0012.tlg001.msA:10.268	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1308	urn:cts:greekLit:tlg0012.tlg001.msA:10.277	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1309	urn:cts:greekLit:tlg0012.tlg001.msA:10.281	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1310	urn:cts:greekLit:tlg0012.tlg001.msA:10.282	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1311	urn:cts:greekLit:tlg0012.tlg001.msA:10.286	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1312	urn:cts:greekLit:tlg0012.tlg001.msA:10.298	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1313	urn:cts:greekLit:tlg0012.tlg001.msA:10.299	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1314	urn:cts:greekLit:tlg0012.tlg001.msA:10.317	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:1315	urn:cts:greekLit:tlg0012.tlg001.msA:10.322	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1316	urn:cts:greekLit:tlg0012.tlg001.msA:10.326	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1317	urn:cts:greekLit:tlg0012.tlg001.msA:10.330	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1318	urn:cts:greekLit:tlg0012.tlg001.msA:10.332	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1319	urn:cts:greekLit:tlg0012.tlg001.msA:10.335	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1320	urn:cts:greekLit:tlg0012.tlg001.msA:10.338	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1321	urn:cts:greekLit:tlg0012.tlg001.msA:10.343	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:1322	urn:cts:greekLit:tlg0012.tlg001.msA:10.347	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1323	urn:cts:greekLit:tlg0012.tlg001.msA:10.351	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1324	urn:cts:greekLit:tlg0012.tlg001.msA:10.353	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1325	urn:cts:greekLit:tlg0012.tlg001.msA:10.354	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1326	urn:cts:greekLit:tlg0012.tlg001.msA:10.356	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1327	urn:cts:greekLit:tlg0012.tlg001.msA:10.361	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1328	urn:cts:greekLit:tlg0012.tlg001.msA:10.372	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1329	urn:cts:greekLit:tlg0012.tlg001.msA:10.375	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1330	urn:cts:greekLit:tlg0012.tlg001.msA:10.378	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1331	urn:cts:greekLit:tlg0012.tlg001.msA:10.381	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1332	urn:cts:greekLit:tlg0012.tlg001.msA:10.383	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1333	urn:cts:greekLit:tlg0012.tlg001.msA:10.387	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:1334	urn:cts:greekLit:tlg0012.tlg001.msA:10.387	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1335	urn:cts:greekLit:tlg0012.tlg001.msA:10.397	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1336	urn:cts:greekLit:tlg0012.tlg001.msA:10.398	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1337	urn:cts:greekLit:tlg0012.tlg001.msA:10.398	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1338	urn:cts:greekLit:tlg0012.tlg001.msA:10.399	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1339	urn:cts:greekLit:tlg0012.tlg001.msA:10.408	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1340	urn:cts:greekLit:tlg0012.tlg001.msA:10.409	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:1341	urn:cts:greekLit:tlg0012.tlg001.msA:10.409	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1342	urn:cts:greekLit:tlg0012.tlg001.msA:10.410	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:1343	urn:cts:greekLit:tlg0012.tlg001.msA:10.410	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1344	urn:cts:greekLit:tlg0012.tlg001.msA:10.411	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:1345	urn:cts:greekLit:tlg0012.tlg001.msA:10.411	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1346	urn:cts:greekLit:tlg0012.tlg001.msA:10.428	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1347	urn:cts:greekLit:tlg0012.tlg001.msA:10.430	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1348	urn:cts:greekLit:tlg0012.tlg001.msA:10.445	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1349	urn:cts:greekLit:tlg0012.tlg001.msA:10.447	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1350	urn:cts:greekLit:tlg0012.tlg001.msA:10.458	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1351	urn:cts:greekLit:tlg0012.tlg001.msA:10.461	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1352	urn:cts:greekLit:tlg0012.tlg001.msA:10.466	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1353	urn:cts:greekLit:tlg0012.tlg001.msA:10.469	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1354	urn:cts:greekLit:tlg0012.tlg001.msA:10.470	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1355	urn:cts:greekLit:tlg0012.tlg001.msA:10.473	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1356	urn:cts:greekLit:tlg0012.tlg001.msA:10.475	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1357	urn:cts:greekLit:tlg0012.tlg001.msA:10.476	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1358	urn:cts:greekLit:tlg0012.tlg001.msA:10.478	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1359	urn:cts:greekLit:tlg0012.tlg001.msA:10.480	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1360	urn:cts:greekLit:tlg0012.tlg001.msA:10.485	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1361	urn:cts:greekLit:tlg0012.tlg001.msA:10.486	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1362	urn:cts:greekLit:tlg0012.tlg001.msA:10.488	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1363	urn:cts:greekLit:tlg0012.tlg001.msA:10.490	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1364	urn:cts:greekLit:tlg0012.tlg001.msA:10.495	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1365	urn:cts:greekLit:tlg0012.tlg001.msA:10.497	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1366	urn:cts:greekLit:tlg0012.tlg001.msA:10.505	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1367	urn:cts:greekLit:tlg0012.tlg001.msA:10.515	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1368	urn:cts:greekLit:tlg0012.tlg001.msA:10.520	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1369	urn:cts:greekLit:tlg0012.tlg001.msA:10.528	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1370	urn:cts:greekLit:tlg0012.tlg001.msA:10.545	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:1371	urn:cts:greekLit:tlg0012.tlg001.msA:10.546	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:1372	urn:cts:greekLit:tlg0012.tlg001.msA:10.559	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1373	urn:cts:greekLit:tlg0012.tlg001.msA:10.561	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1374	urn:cts:greekLit:tlg0012.tlg001.msA:10.570	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1375	urn:cts:greekLit:tlg0012.tlg001.msA:10.571	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1376	urn:cts:greekLit:tlg0012.tlg001.msA:10.573	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1377	urn:cts:greekLit:tlg0012.tlg001.msA:10.574	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1378	urn:cts:greekLit:tlg0012.tlg001.msA:10.578	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1379	urn:cts:greekLit:tlg0012.tlg001.msA:10.579	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1380	urn:cts:greekLit:tlg0012.tlg001.msA:11.4	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1381	urn:cts:greekLit:tlg0012.tlg001.msA:11.11	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1382	urn:cts:greekLit:tlg0012.tlg001.msA:11.13	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:1383	urn:cts:greekLit:tlg0012.tlg001.msA:11.13	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1384	urn:cts:greekLit:tlg0012.tlg001.msA:11.14	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:1385	urn:cts:greekLit:tlg0012.tlg001.msA:11.14	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1386	urn:cts:greekLit:tlg0012.tlg001.msA:11.17	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1387	urn:cts:greekLit:tlg0012.tlg001.msA:11.21	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1388	urn:cts:greekLit:tlg0012.tlg001.msA:11.22	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1389	urn:cts:greekLit:tlg0012.tlg001.msA:11.27	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1390	urn:cts:greekLit:tlg0012.tlg001.msA:11.30	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1391	urn:cts:greekLit:tlg0012.tlg001.msA:11.32	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1392	urn:cts:greekLit:tlg0012.tlg001.msA:11.41	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1393	urn:cts:greekLit:tlg0012.tlg001.msA:11.43	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1394	urn:cts:greekLit:tlg0012.tlg001.msA:11.44	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1395	urn:cts:greekLit:tlg0012.tlg001.msA:11.45	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1396	urn:cts:greekLit:tlg0012.tlg001.msA:11.46	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1397	urn:cts:greekLit:tlg0012.tlg001.msA:11.49	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1398	urn:cts:greekLit:tlg0012.tlg001.msA:11.51	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1399	urn:cts:greekLit:tlg0012.tlg001.msA:11.52	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1400	urn:cts:greekLit:tlg0012.tlg001.msA:11.54	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1401	urn:cts:greekLit:tlg0012.tlg001.msA:11.55	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1402	urn:cts:greekLit:tlg0012.tlg001.msA:11.56	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1403	urn:cts:greekLit:tlg0012.tlg001.msA:11.62	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1404	urn:cts:greekLit:tlg0012.tlg001.msA:11.65	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1405	urn:cts:greekLit:tlg0012.tlg001.msA:11.68	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1406	urn:cts:greekLit:tlg0012.tlg001.msA:11.71	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1407	urn:cts:greekLit:tlg0012.tlg001.msA:11.72	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1408	urn:cts:greekLit:tlg0012.tlg001.msA:11.75	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1409	urn:cts:greekLit:tlg0012.tlg001.msA:11.78	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1410	urn:cts:greekLit:tlg0012.tlg001.msA:11.79	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1411	urn:cts:greekLit:tlg0012.tlg001.msA:11.80	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1412	urn:cts:greekLit:tlg0012.tlg001.msA:11.81	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1413	urn:cts:greekLit:tlg0012.tlg001.msA:11.82	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1414	urn:cts:greekLit:tlg0012.tlg001.msA:11.83	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1415	urn:cts:greekLit:tlg0012.tlg001.msA:11.86	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1416	urn:cts:greekLit:tlg0012.tlg001.msA:11.93	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1417	urn:cts:greekLit:tlg0012.tlg001.msA:11.94	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1418	urn:cts:greekLit:tlg0012.tlg001.msA:11.96	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1419	urn:cts:greekLit:tlg0012.tlg001.msA:11.97	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1420	urn:cts:greekLit:tlg0012.tlg001.msA:11.100	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1421	urn:cts:greekLit:tlg0012.tlg001.msA:11.101	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1422	urn:cts:greekLit:tlg0012.tlg001.msA:11.104	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:1423	urn:cts:greekLit:tlg0012.tlg001.msA:11.106	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1424	urn:cts:greekLit:tlg0012.tlg001.msA:11.109	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1425	urn:cts:greekLit:tlg0012.tlg001.msA:11.111	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1426	urn:cts:greekLit:tlg0012.tlg001.msA:11.116	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1427	urn:cts:greekLit:tlg0012.tlg001.msA:11.121	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1428	urn:cts:greekLit:tlg0012.tlg001.msA:11.124	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1429	urn:cts:greekLit:tlg0012.tlg001.msA:11.128	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1430	urn:cts:greekLit:tlg0012.tlg001.msA:11.130	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1431	urn:cts:greekLit:tlg0012.tlg001.msA:11.140	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1432	urn:cts:greekLit:tlg0012.tlg001.msA:11.142	urn:cite2:hmt:critsign:dotteddiple	TBA
urn:cite2:hmt:signoccurr.v1:1433	urn:cts:greekLit:tlg0012.tlg001.msA:11.144	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1434	urn:cts:greekLit:tlg0012.tlg001.msA:11.147	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1435	urn:cts:greekLit:tlg0012.tlg001.msA:11.155	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1436	urn:cts:greekLit:tlg0012.tlg001.msA:11.163	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1437	urn:cts:greekLit:tlg0012.tlg001.msA:11.166	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1438	urn:cts:greekLit:tlg0012.tlg001.msA:11.173	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1439	urn:cts:greekLit:tlg0012.tlg001.msA:11.178	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1440	urn:cts:greekLit:tlg0012.tlg001.msA:11.179	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:1441	urn:cts:greekLit:tlg0012.tlg001.msA:11.179	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1442	urn:cts:greekLit:tlg0012.tlg001.msA:11.180	urn:cite2:hmt:critsign:asteriskos	TBA
urn:cite2:hmt:signoccurr.v1:1443	urn:cts:greekLit:tlg0012.tlg001.msA:11.180	urn:cite2:hmt:critsign:obelos	TBA
urn:cite2:hmt:signoccurr.v1:1444	urn:cts:greekLit:tlg0012.tlg001.msA:11.183	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1445	urn:cts:greekLit:tlg0012.tlg001.msA:11.191	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1446	urn:cts:greekLit:tlg0012.tlg001.msA:11.192	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1447	urn:cts:greekLit:tlg0012.tlg001.msA:11.196	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1448	urn:cts:greekLit:tlg0012.tlg001.msA:11.217	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1449	urn:cts:greekLit:tlg0012.tlg001.msA:11.221	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1450	urn:cts:greekLit:tlg0012.tlg001.msA:11.226	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1451	urn:cts:greekLit:tlg0012.tlg001.msA:11.234	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1452	urn:cts:greekLit:tlg0012.tlg001.msA:11.244	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1453	urn:cts:greekLit:tlg0012.tlg001.msA:11.252	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1454	urn:cts:greekLit:tlg0012.tlg001.msA:11.262	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1455	urn:cts:greekLit:tlg0012.tlg001.msA:11.266	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1456	urn:cts:greekLit:tlg0012.tlg001.msA:11.270	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1457	urn:cts:greekLit:tlg0012.tlg001.msA:11.281	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1458	urn:cts:greekLit:tlg0012.tlg001.msA:11.297	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1459	urn:cts:greekLit:tlg0012.tlg001.msA:11.302	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1460	urn:cts:greekLit:tlg0012.tlg001.msA:11.306	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1461	urn:cts:greekLit:tlg0012.tlg001.msA:11.307	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1462	urn:cts:greekLit:tlg0012.tlg001.msA:11.314	urn:cite2:hmt:critsign:diple	TBA
urn:cite2:hmt:signoccurr.v1:1463	urn:cts:greekLit:tlg0012.tlg001.msA:11.319	urn:cite2:hmt:critsign:diple	TBA
